,GameID,SeasonID,HomeID,AwayID,WinID,LossID,HomePts,AwayPts,GameDate,Home,Home3PM,Home3PA,Away,Away3PM,Away3PA,HomeWin,AwayWin,3PAResult,3PAABS,3PMResult,3PMABS,3P%Result,3P%ABS
499,201211141,8,1,5,1,5,83,69,11/14/2012,Saint Rose,8,14,New Haven,7,20,1,0,0,6,1,1,1,22.1
3129,2014120131,10,31,21,31,21,88,77,12/1/2014,St. Thomas Aquinas,6,12,Concordia (N.Y.),5,18,1,0,0,6,1,1,1,22.2
2077,2011022516,6,16,27,16,27,83,73,2/25/2011,Dominican (N.Y.),8,13,Goldey-Beacom,7,19,1,0,0,6,1,1,1,24.7
3429,2015030434,10,34,39,34,39,68,60,3/4/2015,LIU Post,5,10,Molloy,4,16,1,0,0,6,1,1,1,25
40,200811305,4,5,13,5,13,62,52,11/30/2008,New Haven,6,11,Saint Michael's,5,17,1,0,0,6,1,1,1,25.1
2342,2012021411,7,11,13,11,13,56,48,2/14/2012,Merrimack,6,11,Saint Michael's,5,17,1,0,0,6,1,1,1,25.1
3811,2016030531,11,31,34,31,34,85,58,3/5/2016,St. Thomas Aquinas,6,11,LIU Post,5,17,1,0,0,6,1,1,1,25.1
1885,2010120722,6,22,18,18,22,58,69,12/7/2010,Nyack,5,17,Caldwell,6,11,0,1,0,6,1,1,1,25.1
3545,2015121219,11,19,16,16,19,74,77,12/12/2015,Post,5,16,Dominican (N.Y.),6,10,0,1,0,6,1,1,1,28.7
981,201611194,12,4,6,4,6,73,60,11/19/2016,Le Moyne,7,20,Pace,9,26,1,0,0,6,0,2,1,0.4
2897,2014011817,9,17,16,16,17,71,80,1/18/2014,Felician,8,23,Dominican (N.Y.),6,17,0,1,0,6,0,2,1,0.5
559,201301232,8,2,9,2,9,72,65,1/23/2013,Adelphi,5,16,Bentley,7,22,1,0,0,6,0,2,0,0.5
527,201212089,8,9,15,9,15,73,66,12/8/2012,Bentley,7,19,Stonehill,9,25,1,0,0,6,0,2,1,0.8
570,201302024,8,4,13,4,13,72,60,2/2/2013,Le Moyne,6,20,Saint Michael's,8,26,1,0,0,6,0,2,0,0.8
1573,2009111514,5,14,32,14,32,72,69,11/15/2009,So. New Hampshire,5,17,Bridgeport,7,23,1,0,0,6,0,2,0,1
