,ID,Team,Conference,Season,GP,Wins,Losses,Points,FGM,FGA,TPM,TPA,NCAA
203,4,Le Moyne,NE10,2013-14,29,17,12,2072,741,1526,174,501,1
204,4,Le Moyne,NE10,2014-15,29,16,13,1939,700,1518,157,459,0
205,4,Le Moyne,NE10,2015-16,27,10,17,1827,657,1495,220,635,0
206,4,Le Moyne,NE10,2016-17,29,22,7,2135,767,1621,266,696,1
207,4,Le Moyne,NE10,2017-18,34,27,7,2478,914,1871,281,766,1
208,4,Le Moyne,NE10,2018-19,28,18,10,1979,709,1570,234,684,1
209,34,LIU Post,ECC,2008-09,23,23,0,2072,726,1418,214,512,1
210,34,LIU Post,ECC,2009-10,26,22,4,2113,806,1583,143,452,0
211,34,LIU Post,ECC,2010-11,33,23,10,2593,915,1979,258,683,1
212,34,LIU Post,ECC,2011-12,29,23,6,2420,845,1860,186,521,1
213,34,LIU Post,ECC,2012-13,27,18,9,2110,753,1600,154,422,0
214,34,LIU Post,ECC,2013-14,29,17,12,2308,819,1918,156,519,0
215,34,LIU Post,ECC,2014-15,30,17,13,2178,784,1797,156,494,0
216,34,LIU Post,ECC,2015-16,30,18,12,2303,809,1921,194,549,0
217,34,LIU Post,ECC,2016-17,28,10,18,2084,747,1738,235,641,0
218,34,LIU Post,ECC,2017-18,29,11,18,2102,736,1773,268,719,0
219,34,LIU Post,ECC,2018-19,25,0,25,1621,587,1660,167,582,0
220,35,Mercy,ECC,2008-09,24,1,23,1334,486,1277,92,319,0
221,35,Mercy,ECC,2009-10,28,1,27,1820,657,1715,182,574,0
222,35,Mercy,ECC,2010-11,25,2,23,1673,653,1607,143,466,0
223,35,Mercy,ECC,2011-12,26,4,22,1655,646,1544,102,344,0
224,35,Mercy,ECC,2012-13,26,4,22,1790,671,1616,144,484,0
225,35,Mercy,ECC,2013-14,26,3,23,1797,634,1627,155,519,0
226,35,Mercy,ECC,2014-15,26,8,18,1844,665,1542,149,402,0
227,35,Mercy,ECC,2015-16,29,13,16,2213,797,1947,166,507,0
228,35,Mercy,ECC,2016-17,28,2,26,1936,696,1737,183,577,0
229,35,Mercy,ECC,2017-18,29,10,19,2236,821,1962,191,612,0
230,35,Mercy,ECC,2018-19,26,8,18,1831,661,1563,182,553,0
231,11,Merrimack,NE10,2008-09,29,20,9,2333,808,1865,258,777,1
232,11,Merrimack,NE10,2009-10,31,21,10,2406,843,1920,267,738,1
233,11,Merrimack,NE10,2010-11,27,13,14,1958,763,1715,198,552,0
234,11,Merrimack,NE10,2011-12,26,15,11,1771,680,1538,124,378,0
235,11,Merrimack,NE10,2012-13,27,12,15,1899,750,1698,143,421,0
236,11,Merrimack,NE10,2013-14,26,9,17,1887,676,1639,159,500,0
237,11,Merrimack,NE10,2014-15,29,17,12,2308,827,1858,267,714,0
238,11,Merrimack,NE10,2015-16,27,15,12,2252,800,1785,221,617,0
239,11,Merrimack,NE10,2016-17,31,19,12,2410,896,1949,237,693,1
240,11,Merrimack,NE10,2017-18,32,20,12,2393,890,1933,260,716,1
241,11,Merrimack,NE10,2018-19,32,22,10,2368,865,1899,277,789,1
242,39,Molloy,ECC,2008-09,24,5,19,1681,619,1509,92,314,0
243,39,Molloy,ECC,2009-10,32,13,19,2316,850,1991,159,524,0
244,39,Molloy,ECC,2010-11,26,9,17,1636,574,1352,131,400,0
245,39,Molloy,ECC,2011-12,27,8,19,1815,613,1485,141,423,0
246,39,Molloy,ECC,2012-13,28,18,10,1846,674,1666,143,486,0
247,39,Molloy,ECC,2013-14,30,17,13,2314,828,1947,175,543,0
248,39,Molloy,ECC,2014-15,29,16,13,2102,735,1761,182,556,0
249,39,Molloy,ECC,2015-16,28,9,19,2102,772,1834,198,637,0
250,39,Molloy,ECC,2016-17,29,18,11,2371,868,1790,156,467,0
251,39,Molloy,ECC,2017-18,30,9,21,2153,770,1816,207,599,0
252,39,Molloy,ECC,2018-19,31,21,10,2484,896,2102,245,687,1
253,5,New Haven,NE10,2008-09,25,7,19,1499,572,1346,134,396,0
254,5,New Haven,NE10,2009-10,27,5,22,1734,657,1532,137,469,0
255,5,New Haven,NE10,2010-11,26,8,18,1668,621,1383,212,560,0
256,5,New Haven,NE10,2011-12,28,15,13,1784,625,1502,188,557,0
257,5,New Haven,NE10,2012-13,29,20,9,1906,651,1529,207,590,1
258,5,New Haven,NE10,2013-14,30,21,9,2106,726,1652,198,602,1
259,5,New Haven,NE10,2014-15,27,15,12,1702,623,1482,187,581,0
260,5,New Haven,NE10,2015-16,26,8,18,1652,567,1360,225,650,0
261,5,New Haven,NE10,2016-17,29,15,14,2009,726,1662,204,625,0
262,5,New Haven,NE10,2017-18,27,17,10,2005,719,1505,239,649,0
263,5,New Haven,NE10,2018-19,31,21,10,2260,823,1695,267,713,1
264,22,Nyack,CACC,2008-09,30,10,20,2069,741,1789,151,421,0
265,22,Nyack,CACC,2009-10,28,15,13,2061,745,1696,195,500,0
266,22,Nyack,CACC,2010-11,25,3,22,1492,556,1461,138,442,0
267,22,Nyack,CACC,2011-12,28,1,27,1881,695,1664,146,458,0
268,22,Nyack,CACC,2012-13,25,5,20,1494,530,1377,139,455,0
269,22,Nyack,CACC,2013-14,25,10,15,1798,594,1454,149,439,0
270,22,Nyack,CACC,2014-15,26,7,19,1770,630,1548,152,497,0
271,22,Nyack,CACC,2015-16,26,11,15,1851,655,1550,176,534,0
272,22,Nyack,CACC,2016-17,26,7,19,1860,666,1538,169,519,0
273,22,Nyack,CACC,2017-18,26,7,19,1763,645,1541,216,638,0
274,22,Nyack,CACC,2018-19,27,6,21,1889,688,1660,147,506,0
275,36,NYIT,ECC,2008-09,24,13,11,1756,591,1421,194,572,0
276,36,NYIT,ECC,2009-10,32,14,18,2216,827,1848,171,500,0
277,36,NYIT,ECC,2010-11,28,13,15,1935,673,1535,199,565,0
278,36,NYIT,ECC,2011-12,26,11,15,1864,694,1603,138,392,0
279,36,NYIT,ECC,2012-13,29,19,10,2141,784,1685,139,451,0
280,36,NYIT,ECC,2013-14,26,10,16,1988,713,1628,199,585,0
281,36,NYIT,ECC,2014-15,29,14,15,2329,810,1759,254,668,0
282,36,NYIT,ECC,2015-16,26,3,23,1895,682,1663,186,631,0
283,36,NYIT,ECC,2016-17,26,8,18,2047,744,1721,154,523,0
284,36,NYIT,ECC,2017-18,30,5,25,2296,840,1964,148,513,0
285,36,NYIT,ECC,2018-19,27,3,24,1920,682,1683,199,584,0
286,6,Pace,NE10,2008-09,26,9,18,1860,638,1663,171,550,0
287,6,Pace,NE10,2009-10,29,10,19,2037,722,1742,212,607,0
288,6,Pace,NE10,2010-11,27,11,16,1830,671,1696,133,468,0
289,6,Pace,NE10,2011-12,25,11,14,1607,566,1365,134,410,0
290,6,Pace,NE10,2012-13,26,9,17,1662,602,1540,113,402,0
291,6,Pace,NE10,2013-14,26,7,19,1747,623,1552,133,439,0
292,6,Pace,NE10,2014-15,28,5,23,1686,609,1592,167,604,0
